title,year,revenue,imdb_id,tmdb_id,trakt_id,revenue_musd
Hoppers,2026,29000000,tt26443616,1327819,1085761,29.0
Reminders of Him,2026,18000000,tt33714084,1367642,1116720,18.0
undertone,2026,9300000,tt35892608,1480387,1213506,9.3
Scream 7,2026,8400000,tt27047903,1159559,934134,8.4
GOAT,2026,4700000,tt27613895,1297842,1057839,4.7
The Bride!,2026,2100000,tt30851137,1159831,934595,2.1
Kiki's Delivery Service,1989,1700000,tt0097814,16859,10314,1.7
"""Wuthering Heights""",2026,1700000,tt32897959,1316092,1077273,1.7
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,1991,1500000,tt0103060,1497,991,1.5
Crime 101,2026,1100000,tt32430579,1171145,944042,1.1
